Team,FR TD,SFTY,INT TD,Sck,Comb,Asst,Solo,FF,FR,FR TD,Rec FUM,Rush FUM,INT,INT TD,INT Yds,Lng
49ers,0,0,2,48,1053,381,680,22,11,0,9,11,9,2,136,40
Bears,1,1,1,49,1014,353,672,14,8,1,2,5,8,1,135,53T
Bengals,1,0,1,42,1064,381,676,17,8,1,6,6,13,1,266,65
Bills,0,0,1,42,954,293,614,12,11,0,4,7,19,1,238,26T
Broncos,0,0,1,36,999,362,617,6,6,0,0,4,13,1,221,70T
Browns,1,0,1,43,1036,356,650,12,6,1,4,6,13,1,148,99T
Buccaneers,0,0,2,47,998,292,701,16,12,0,8,4,17,2,177,31T
Cardinals,1,0,1,41,998,329,644,21,14,1,6,6,13,1,247,77T
Chargers,1,0,0,35,1105,395,677,19,10,1,5,4,11,0,70,26
Chiefs,2,0,2,31,1016,351,674,18,13,2,5,10,15,2,160,75
Colts,1,1,0,33,1020,308,662,18,14,1,4,10,19,0,175,32
Cowboys,1,0,5,41,991,317,664,13,8,1,4,3,26,5,405,66
Dolphins,2,0,3,48,1053,380,627,14,12,2,8,6,14,3,175,85
Eagles,3,0,2,29,1122,477,641,13,4,3,3,6,12,2,142,51
Falcons,0,1,2,18,1149,446,678,14,8,0,3,8,12,2,202,66
Football Team,0,0,2,38,1055,393,649,9,7,0,5,6,11,2,120,31
Giants,0,1,1,34,1181,492,662,12,7,0,4,3,15,1,135,41T
Jaguars,0,0,0,32,1095,400,692,9,2,0,3,4,7,0,57,23
Jets,0,0,1,33,1168,413,705,13,7,0,5,10,7,1,114,32
Lions,0,0,0,30,1103,401,687,10,8,0,6,3,11,0,108,50
Packers,0,0,2,39,946,275,671,10,8,0,0,5,18,2,164,55T
Panthers,0,1,0,39,1032,372,664,14,7,0,2,9,9,0,103,29
Patriots,0,0,3,36,1036,360,612,11,6,0,3,6,23,3,322,88
Raiders,0,1,0,35,1096,412,662,13,9,0,3,7,6,0,68,35
Rams,0,0,0,50,1153,432,657,15,6,0,4,6,19,0,192,34
Ravens,0,0,1,34,968,334,637,8,6,0,1,2,9,1,38,21T
Saints,0,0,2,46,1013,346,689,13,7,0,4,4,18,2,313,53T
Seahawks,0,1,0,34,1261,472,709,9,7,0,1,5,11,0,92,29
Steelers,0,0,0,55,1111,369,708,18,8,0,7,7,13,0,105,41
Texans,0,1,1,32,1132,410,691,16,7,0,4,10,17,1,295,82T
Titans,1,0,2,43,977,312,633,13,6,1,7,4,16,2,128,24
Vikings,0,0,2,51,1148,424,676,13,8,0,3,4,16,2,256,66
